page,column,line,source,page_score,row
1,1,"Förmedlar köp och försäljning af aktior, obligationer och banklottar kontant & per leverans.",text,210,1
1,1,"R. T. 13564, 13565, 13566. Telegrafadreas: «Reflektant». A. T. 9130.",text,210,2
1,1,OMKRING 50000,text,210,3
1,1,TAXERINGSUPPGIFTER,text,210,4
1,1,Å PERSONER OCH BOLAG MED 5000,text,210,5
1,1,KR. INKOMST,text,210,6
1,1,OCH DÄRUTÖFVER I SAMTLIGA SVERIGES 100,text,210,7
1,1,"STÄDER (ÄFVEN STOCKHOLM), KÖPINGAR, MUNICIPALSAMHÄLLEN, VILLASAMHÄLLEN",text,210,8
1,1,OCH LANDSKOMMUNER,text,210,9
1,1,Rikstelef.:,text,210,10
1,2,Bankir- & Fondmäklerifirman,text,210,1
1,2,(Medlem af Sv. Fondhandlareföreningen.),text,210,2
1,2,"Kungsträdgårdsgatan 2 C, Stockholm.",text,210,3
1,2,Aktier belanas.,text,210,4
1,2,Stadsmäklare,text,210,5
1,2,"Stockholm, Fredsgatan 4.",text,210,6
1,2,Telegramadr.: CLIMAX.,text,210,7
2,1,UNIVERSITETSBIBLIOTEKET UMEÅ,text,100,1
2,1,1419,text,100,2
2,1,"Det énda antiseptiska preparat, om hvilket det med sanning kan sägas och om hvilket det af landets högsta vetenskapliga auktoriteter på grund af gjord erfarenhet intygats, att det är »ganska användbart i åtskilliga invärtes och utvärtes sjukdomar, och att det genom sin sammansättning och sina egenskaper är ganska lämpligt att handhafvas af den stora allmänheten, då det icke kan göra någon skada», är originalfabrikatet Salubrin.",text,100,3
2,1,"De otaliga oafbrutet fortsatta försöken att förmå allmänheten i stället för Salubrin köpa underhaltiga efterapningar eller andra varor, som säljas till högt pris i förhållande till tillverkningsvärdet, kunna väl i en del fall tillskrifvas okunnighet, men äro till stor del bevis om Salubrins prisbillighet i förhållande till dess värde, alldenstund mången rekommenderar de varor, hvarpå förtjänsten är störst. Miljontals kronor hafva genom ifrågavarande försök frännarrats allmänheten, hvarjämte användande af odugliga och skadliga preparater i en del fall åstadkommit svår eller obotlig skada.",text,100,4
2,1,Observera vid inköp salubrinflaskornas etiketter och förgät ej heller att i bruksanvisningen efterse på hvad sätt Salubrin bör användas samt att det för de flesta ändamål bör utspädas med vatten.,text,100,5
2,2,och,text,100,1
3,1,AKTIEBOLAGET NORDISKA KREDITBANKEN,text,120,1
3,2,UNIVERSITETSBIBLIOTEKET,text,120,1
3,2,1998-05-07,text,120,2
3,2,UMEA,text,120,3
3,2,Umeå Universitet,text,120,4
