page,column,line,source,page_score,row
1,1,Skandinavien,class_List-item,290,1
1,1,"Olycksfall-, Sjuk-, Inbrotts-, Rån-, Glas-,",class_List-item,290,2
1,1,"- Ansvars-, Resgods- och Vattenskade -",class_List-item,290,3
1,1,Försäkring,class_List-item,290,4
1,1,"R. T. 760, 765, 21 75. A. T. 44 88, 82 68, 93 57",class_List-item,290,5
1,1,SVERIGES,class_List-item,290,6
1,1,TAXERINGSKALENDER,class_List-item,290,7
1,1,1913,class_List-item,290,8
1,1,OMKRING 100 000,class_List-item,290,9
1,1,TAXERINGSUPPGIFTER,class_List-item,290,10
1,1,Å PERSONER OCH BOLAG MED 4000,class_List-item,290,11
1,1,KR. INKOMST,class_List-item,290,12
1,1,OCH DÄRUTÖFVER 1,class_List-item,290,13
1,1,SAMTLIGA SVERIGES 100,class_List-item,290,14
1,1,STÄDER (ÄFVEN,class_List-item,290,15
1,1,"STOCKHOLM), KÖPINGAR, MUNICIPALSAMHÄLLEN, VILLASAMHÄLLEN",class_List-item,290,16
1,2,OCH LANDSKOMMUNER,class_List-item,290,1
1,2,KONTOR:,class_List-item,290,2
1,2,Centralpalat set,class_List-item,290,3
1,2,TELEFONER:,class_List-item,290,4
1,2,RIKS,class_List-item,290,5
1,2,STOCKHOLMS {41 70,class_List-item,290,6
1,2,FÖRSÄLJNING AF:,class_List-item,290,7
1,2,Automobiler,class_List-item,290,8
1,2,Patenterade växellådor,class_List-item,290,9
1,2,Motorer ~ Motorbåtar,class_List-item,290,10
1,2,"TELEGRAMADR.: ""CENTRALI""",class_List-item,290,11
1,2,PRIS 8,class_List-item,290,12
1,2,KR.,class_List-item,290,13
2,1,The Hanover National Bank,class_List-item,180,1
2,1,Sundsvalls Enskilda Bank,class_List-item,180,2
2,1,4,class_List-item,180,3
2,1,"Fredsgatan, Stockholm.",class_List-item,180,4
2,1,"Solidarisk Grundfond: Kr. 10,250,000",class_List-item,180,5
2,2,"Reserver: ..... Kr. 12,500,000",class_List-item,180,1
2,2,Fullständig bankrörelse.,class_List-item,180,2
2,2,- Förvaringsfack.,class_List-item,180,3
2,2,- Notariatafdelning.,class_List-item,180,4
2,2,- Fondafdelning.,class_List-item,180,5
3,1,RIKS TELEFON,class_List-item,145,1
3,1,23 32,class_List-item,145,2
3,1,103 88,class_List-item,145,3
3,1,ALLM. TELEFON,class_List-item,145,4
3,1,792,class_List-item,145,5
3,1,793,class_List-item,145,6
3,2,794,class_List-item,145,1
3,2,"WAHLMAN, HÄHNEL & Co",class_List-item,145,2
3,2,STOCKHOLM,class_List-item,145,3
3,2,ANTRACIT,class_List-item,145,4
3,2,FRÅN NYANLAGDA MODERNA KROSSVERK,class_List-item,145,5
3,2,STENKOL och KOKS,class_List-item,145,6
3,2,FRITT HEMKÖRT i POSTER OM MINST 1hl.,class_List-item,145,7
4,1,Hjalmar Uddenbergs Advokatbyrå,class_List-item,340,1
4,1,Etablerad år 1893.,class_List-item,340,2
4,1,Ledamot af SVERIGES ADVOKATSAMFUND.,class_List-item,340,3
